id,number_of_conversations,longest_conversation,longest_conversation_days,average_conversation_length,average_conversation_length_days,median_conversation_length,median_conversation_length_days,number_of_one_message_conversations,ghostings_after_initial_message,birthday,age_filter_min,age_filter_max,city_name,country,created_date,education,gender,interested_in,gender_filter,instagram,spotify,job,school,agr_total_likes,agr_total_passes,agr_total_matches,agr_total_app_opens,agr_total_messages_sent,agr_total_messages_recieved,active_till,days_active
00365a51cb920f38e3cbda41ab3135cb,12,78,2.530914351851851,13.166666666666666,0.8004340277777781,9,0.5247800925925921,3,0,1986-11-13,20,34,,,2021-06-07 17:58:14.881,1,0.0,1.0,1.0,0,0.0,,,257,4071,,,167,181,2021-06-12,5.0
0054c12d2889e9428e54a3fd06600bd3,159,43,69.80402777777778,3.867924528301886,2.297254178313534,1,0.0,35,53,1994-07-27,20,32,,,2016-08-11 04:38:09.331,0,0.0,2.0,2.0,0,0.0,,,8563,5995,303.0,4483.0,615,544,2021-06-10,1764.0
008c29d66d5975b0127132144576201f,162,48,200.1221875,4.512345679012346,5.089839677640604,2,8.101851851800001e-05,73,7,1997-08-12,18,30,Rapid City,SD,2019-08-31 16:53:30.411,1,0.0,1.0,1.0,0,1.0,,Haverford College,6511,71423,366.0,8725.0,751,502,2021-03-23,570.0
00b113ee72d90509f1ae8589044076ee,0,0,0.0,0.0,0.0,0,0.0,0,0,1996-07-12,18,100,Prague,Czechia,2018-06-10 17:48:39.543,1,,,,0,0.0,,,15315,28662,2023.0,8438.0,4793,4764,2020-09-13,826.0
00b74e27ad1cbb2ded8e907fcc49eaaf,739,133,683.5574421296296,8.56021650879567,10.236619931839824,3,0.081134259259259,226,66,1976-01-01,21,35,Trondheim,Norway,2016-01-01 09:30:07.551,0,0.0,1.0,1.0,0,0.0,,,23341,24229,3408.0,6839.0,3360,3261,2017-12-30,729.0
00ff275ea954e6564836e1375c31ce25,114,59,14.212731481481482,11.06140350877193,1.454212455328135,7,0.13417824074074,18,4,2000-06-11,20,24,Cork,Ireland,2019-12-16 22:25:26.074,1,0.0,1.0,1.0,0,1.0,,National University of Ireland - University College Cork,20914,5554,503.0,1856.0,1316,1305,2021-01-16,397.0
012f31c934343673c067978eb027edb7,532,134,62.18831018518519,6.650375939849624,2.125788059558618,3,0.16347222222222202,145,30,1994-06-22,21,44,Helsinki,Finland,2020-08-16 15:49:25.977,1,0.0,1.0,1.0,1,0.0,,,7051,76758,2.0,121.0,3598,3703,2021-08-28,377.0
01a920152b82205cb42646472ecd0e29,62,45,17.208252314814814,4.032258064516129,1.300725433094384,2,4.6296296296e-05,30,0,1999-05-31,18,40,,,2021-07-04 05:14:08.030,1,0.0,1.0,1.0,0,0.0,Firefighter,,8214,7642,,,291,211,2021-08-22,49.0
024610702baf540af5637873cd1534e9,464,36,622.4665277777777,4.495689655172414,3.9739801594428563,2,6.9444444444e-05,56,16,1997-07-04,18,29,Richmond,VA,2016-07-12 02:26:46.774,0,0.0,1.0,1.0,0,0.0,,,45068,49559,888.0,26280.0,2088,1509,2020-02-20,1318.0
026dc738197bdaccce4ff29502227bbc,10,52,0.229363425925925,13.9,0.050359953703703005,6,0.021736111111111,4,0,1997-06-01,18,34,,,2021-07-09 02:08:24.892,1,0.0,1.0,1.0,0,0.0,,,431,1019,,,146,81,2021-07-10,1.0
02a7ad3f6f810ea8f87e64ed0b01b69c,106,20,715.4474768518519,2.084905660377358,8.119314836652691,1,0.0,62,12,1998-08-07,20,30,Tamworth,England,2014-05-15 16:09:09.493,0,0.0,1.0,1.0,0,0.0,Product Engineer,,38558,100345,776.0,8986.0,157,116,2021-10-08,2703.0
03371ac20f88c9c8843ef140a8704923,1205,79,252.62988425925926,3.3402489626556022,2.234225257415093,1,0.0,561,137,2000-11-23,18,23,Washington,DC,2020-01-24 02:45:53.177,1,0.0,1.0,1.0,1,0.0,,Georgetown University,14541,77204,2523.0,7243.0,4053,3468,2021-08-28,582.0
034b3aa648f3c446751ed35583cba991,129,238,133.5677662037037,9.674418604651162,2.314670183749641,1,0.0,60,9,1991-07-16,18,30,San Francisco,CA,2020-01-02 04:05:22.552,1,0.0,1.0,1.0,0,1.0,Civil Engineer,,13528,16540,316.0,1824.0,1277,927,2021-10-16,653.0
03846287ef12001853246f9433fbf143,65,27,92.03079861111111,4.338461538461538,2.186949608262108,2,0.015358796296296,28,0,1999-06-26,18,23,Broadlands,Virginia,2019-09-01 20:19:14.635,1,0.0,1.0,1.0,1,0.0,Technical Intern,Virginia Tech,7131,5293,51.0,1841.0,286,196,2021-08-29,728.0
03c9fb331949c7237651614acd6af8ee,7,11,19.68306712962963,3.0,2.937974537037037,2,0.000150462962962,3,0,1996-09-19,22,1000,Tel Aviv,Israel,2021-07-22 01:05:25.464,1,0.0,1.0,1.0,0,0.0,Software Engineer,,3053,6530,,,22,15,2021-08-22,31.0
044d0cbe394c6d182ea0f6cf5e31e0b5,24,57,3.121423611111111,6.25,0.545331790123456,2,0.029618055555555002,7,0,2000-12-13,18,25,Göteborg,Sweden,2021-07-09 16:44:43.845,1,0.0,1.0,1.0,0,1.0,,,2435,855,,,150,126,2021-07-18,9.0
0478b4b772a699fc676c7d62653fdcb5,55,103,55.828796296296304,10.418181818181818,6.041722432659932,2,0.067384259259259,21,1,1998-03-01,20,26,Voorschoten,Zuid-Holland,2017-03-08 06:22:55.912,0,0.0,1.0,1.0,0,1.0,,MboRijnland Vierdejaars Mediavormgever,8835,3717,83.0,1011.0,571,489,2021-08-20,1626.0
047b89e2fb091a0b163dc08f437ac4d7,32,49,36.35773148148148,7.15625,3.745185185185185,4,0.055613425925925004,11,0,1996-07-12,18,30,Bratislava,Slovakia,2017-01-21 16:11:55.813,0,0.0,1.0,1.0,0,1.0,,,2714,42524,57.0,3175.0,229,330,2021-08-14,1666.0
